1	2
1	3
1	4
2	1
2	3
2	4
3	1
3	2
3	4
4	1
4	2
4	3
5	6
5	7
5	8
6	5
6	7
6	8
7	5
7	6
7	8
8	5
8	6
8	7
9	10
9	11
9	12
10	9
10	11
10	12
11	9
11	10
11	12
12	9
12	10
12	11
13	14
13	15
14	13
14	15
15	13
15	14
16	17
16	18
16	19
16	20
17	16
17	18
17	19
17	20
18	16
18	17
18	19
18	20
19	16
19	17
19	18
19	20
20	16
20	17
20	18
20	19
21	22
21	23
21	24
22	21
22	23
22	24
23	21
23	22
23	24
24	21
24	22
24	23
25	26
25	27
25	28
25	29
26	25
26	27
26	28
26	29
27	25
27	26
27	28
27	29
28	25
28	26
28	27
28	29
29	25
29	26
29	27
29	28
30	31
30	32
30	33
30	34
31	30
31	32
31	33
31	34
32	30
32	31
32	33
32	34
33	30
33	31
33	32
33	34
34	30
34	31
34	32
34	33
35	36
35	37
35	38
36	35
36	37
36	38
37	35
37	36
37	38
38	35
38	36
38	37
39	40
39	41
39	42
40	39
40	41
40	42
41	39
41	40
41	42
42	39
42	40
42	41
43	44
43	45
44	43
44	45
45	43
45	44
46	47
46	48
47	46
47	48
48	46
48	47
49	50
49	51
49	52
49	53
50	49
50	51
50	52
50	53
51	49
51	50
51	52
51	53
52	49
52	50
52	51
52	53
53	49
53	50
53	51
53	52
54	55
54	56
55	54
55	56
56	54
56	55
57	58
57	59
58	57
58	59
59	57
59	58
